Month,City,Merchant,Total_Sales,No_of_sales
Feb 2018,131,Robert Lehman inc,"721,191",36
Feb 2018,133,Dean Noggle inc,"284,035",14
Feb 2018,133,George Cecchini inc,"151,935",7
Feb 2018,133,Tyler Sharpe inc,"151,659",7
Feb 2018,133,Andrea Grubbs inc,"151,373",7
Feb 2018,133,Peter Shannon inc,"132,499",8
Feb 2018,135,Michael King 9 inc,"840,619",40
Feb 2018,135,Hugh Ford inc,"395,440",22
Feb 2018,135,Isaiah Wilkinson inc,"346,434",16
Feb 2018,135,Armida Mullen inc,"334,813",18
Feb 2018,135,Martha Jacobson inc,"292,816",14
Feb 2018,136,Justin Pellicone inc,"707,652",37
Feb 2018,136,Boyd Delosh inc,"618,968",31
Feb 2018,136,Mark Parrish inc,"539,573",25
Feb 2018,136,Don Kuboushek inc,"470,386",24
Feb 2018,136,Michelle Delrio inc,"448,869",21
Feb 2018,137,Charles Cota inc,"9,154,342",438
Feb 2018,137,Liana Ramos inc,"7,653,832",390
Feb 2018,137,George Caporiccio inc,"7,607,242",376
Feb 2018,137,Rebecca Ross inc,"5,119,762",248
Feb 2018,137,,"3,795,439",186
Feb 2018,138,Barbara Brantly inc,"2,398,880",120
Feb 2018,138,Jessica Wilson inc,"1,633,672",77
Feb 2018,138,Ricardo Simpson inc,"1,522,009",75
Feb 2018,138,,"1,381,613",68
Feb 2018,138,Charlotte Lovell 2 inc,"1,169,479",59
Feb 2018,139,Irene Rutledge inc,"743,943",33
Feb 2018,139,Jean Rogers 2 inc,"499,286",23
Feb 2018,139,Margie Alford inc,"440,052",22
Feb 2018,139,Elaine Chapman inc,"302,753",16
Feb 2018,139,Caroline Green inc,"251,797",13
Feb 2018,140,,"16,703,516",810
Feb 2018,140,Janet Mendiola inc,"3,206,119",152
Feb 2018,140,Robert Molina 2 inc,"1,718,046",85
Feb 2018,140,Eugene Lovelace inc,"1,536,949",72
Feb 2018,140,Raymond Franklin inc,"1,319,241",63
Feb 2018,142,Manuel Lanehart inc,"370,174",20
Feb 2018,142,Steve Swartz inc,"322,598",14
Feb 2018,142,Janet Banks inc,"216,662",11
Feb 2018,142,Alejandro Jenkins 2 inc,"100,244",5
Feb 2018,142,Annette Abston inc,"96,961",5
Feb 2018,143,Helen Kern inc,"19,040,145",951
Feb 2018,143,,"9,996,165",499
Feb 2018,143,Scott Hepburn inc,"9,526,712",475
Feb 2018,143,Rose Garner inc,"9,076,195",454
Feb 2018,143,Alan Eisenhower inc,"7,032,189",355
Feb 2018,144,Andres Knight inc,"462,175",23
Feb 2018,144,Patricia Saucedo inc,"419,226",21
Feb 2018,144,Kristofer Oquinn inc,"407,147",20
Feb 2018,144,Robert Mccain inc,"322,082",17
Feb 2018,144,,"300,791",17
Feb 2018,145,Helen Brown 6 inc,"663,338",36
Feb 2018,145,Courtney Eckert inc,"546,167",26
Feb 2018,145,Martin Long inc,"457,619",28
Feb 2018,145,Matt Harris inc,"324,452",15
Feb 2018,145,Emmett Christian inc,"255,991",14
Feb 2018,146,Mary Kirby 2 inc,"544,176",27
Feb 2018,146,Sandra Kalkman inc,"370,860",19
Feb 2018,146,Charles Turpin 3 inc,"365,521",17
Feb 2018,146,Benjamin Parsley inc,"259,447",14
Feb 2018,146,Karen Bolger inc,"234,148",13
Feb 2018,147,Trevor Dean inc,"1,060,653",57
Feb 2018,147,Thomas Chipps inc,"1,056,069",47
Feb 2018,147,Emma Laird inc,"905,886",47
Feb 2018,147,Patricia Dodson inc,"894,259",43
Feb 2018,147,Rachel Kennedy 2 inc,"704,341",38
Feb 2018,148,Tricia Dozier inc,"902,789",44
Feb 2018,148,Christopher Mcdonald inc,"792,655",36
Feb 2018,148,John Barocio inc,"371,407",21
Feb 2018,148,Floyd Head inc,"366,896",20
Feb 2018,148,Nicolas Flaming inc,"322,608",15
Feb 2018,149,Alexandria Sarmiento inc,"8,334,172",424
Feb 2018,149,Kenneth Larson inc,"5,514,536",267
Feb 2018,149,Jerold Caldwell inc,"5,133,226",251
Feb 2018,149,,"4,352,120",214
Feb 2018,149,Kelly Perez 2 inc,"3,538,980",173
Feb 2018,150,Effie Mayfield inc,"942,384",47
Feb 2018,150,William Trotter inc,"447,703",22
Feb 2018,150,,"356,444",18
Feb 2018,150,Theresa Woods inc,"248,259",11
Feb 2018,150,Joe Joiner 2 inc,"248,172",12
Feb 2018,151,Elfriede Jones inc,"370,652",19
Feb 2018,151,Larry Bush inc,"241,798",13
Feb 2018,151,Shakita Jones inc,"212,582",10
Feb 2018,151,Carlos Morgan 2 inc,"162,753",9
Feb 2018,151,Cleo Shapiro inc,"142,118",8
Feb 2018,153,Martha Goldstein inc,"310,611",16
Feb 2018,153,Gary Neri inc,"271,045",13
Feb 2018,153,Joseph Davanzo inc,"193,229",10
Feb 2018,153,Jimmy Scully inc,"189,617",9
Feb 2018,153,William Smith 46 inc,"168,392",8
Feb 2018,155,,"885,780",42
Feb 2018,155,Susie Wynn inc,"808,356",38
Feb 2018,155,Lena Napolitano inc,"595,280",29
Feb 2018,155,Manuel Edwards inc,"574,505",29
Feb 2018,155,Rene Strickland inc,"531,811",25
Feb 2018,156,Christopher Butts 2 inc,"795,362",43
Feb 2018,156,Gary Finley inc,"582,994",28
Feb 2018,156,Della Dudziak inc,"462,500",23
Feb 2018,156,Bart Massey inc,"425,100",19
Feb 2018,156,,"411,954",23
Feb 2018,157,Helen Burnsworth inc,"2,155,716",95
Feb 2018,157,Loree Hansen inc,"660,783",30
Feb 2018,157,Christopher Mcwilliams inc,"430,756",19
Feb 2018,157,Robert Jenkins 7 inc,"363,376",18
Feb 2018,157,Pearl Stone inc,"336,163",14
Feb 2018,158,Darryl Revak inc,"15,091,153",748
Feb 2018,158,Dee Gallager inc,"14,657,114",723
Feb 2018,158,,"11,280,280",578
Feb 2018,158,Robert Cruz 2 inc,"10,427,344",520
Feb 2018,158,Bridget Patterson inc,"8,882,515",443
Feb 2018,159,Roy Coats inc,"2,715,515",135
Feb 2018,159,Sean Groover inc,"1,005,617",52
Feb 2018,159,Monique Armstrong inc,"615,079",33
Feb 2018,159,Lorenzo Hawkins inc,"589,128",33
Feb 2018,159,Larry Stegall inc,"557,501",29
Feb 2018,160,Tiffany Robinson 2 inc,"47,426,013","2,374"
Feb 2018,160,Richard Mccabe inc,"10,260,758",529
Feb 2018,160,Eliz Prater inc,"5,481,270",273
Feb 2018,160,Laurena Parks inc,"3,609,490",175
Feb 2018,160,Patricia Sharp 2 inc,"3,252,334",156
Feb 2018,161,Joyce Fletcher inc,"2,781,889",133
Feb 2018,161,Delbert Plater inc,"2,008,149",97
Feb 2018,161,Carol Hardy 2 inc,"1,522,509",71
Feb 2018,161,,"1,490,192",77
Feb 2018,161,Claire Mcclendon inc,"1,481,886",80
Feb 2018,162,Pedro Roberts 2 inc,"957,334",51
Feb 2018,162,Jennifer Rudio inc,"886,300",39
Feb 2018,162,Maureen Werre inc,"738,847",33
Feb 2018,162,Emelia Foulk inc,"586,094",27
Feb 2018,162,Sanford Myers inc,"544,635",29
Feb 2018,163,Richard Rosa inc,"967,960",49
Feb 2018,163,Kathy Briggs inc,"582,393",30
Feb 2018,163,Linda Rogers 6 inc,"407,910",24
Feb 2018,163,Helen Mccutchan inc,"405,142",22
Feb 2018,163,Luigi Hammond inc,"303,341",17
Feb 2018,165,Pat Harper inc,"345,985",18
Feb 2018,165,Frank Vue inc,"246,260",12
Feb 2018,165,Michael Mabry inc,"240,903",12
Feb 2018,165,Mary Stamper inc,"229,551",11
Feb 2018,165,Jessie Carey inc,"224,459",11
Feb 2018,166,Michelle Marrero 2 inc,"520,581",26
Feb 2018,166,Opal Siegel inc,"500,008",21
Feb 2018,166,Linda Ready inc,"398,206",19
Feb 2018,166,Rodney Hatton inc,"338,858",16
Feb 2018,166,Ali Newsome inc,"285,157",15
Feb 2018,167,Betty Brown 9 inc,"1,363,790",72
Feb 2018,167,Marion Greer inc,"379,364",19
Feb 2018,167,Wiley Woodlin inc,"271,739",11
Feb 2018,167,Mauricio Couto inc,"247,514",10
Feb 2018,167,Judith Korn inc,"212,577",11
Feb 2018,168,Kim Hartly inc,"763,210",39
Feb 2018,168,Mary Gallegos 2 inc,"635,607",30
Feb 2018,168,Kristin Mcmurray inc,"624,888",31
Feb 2018,168,David Reyes 2 inc,"600,186",29
Feb 2018,168,Richard James 5 inc,"579,124",33
Feb 2018,169,,"3,002,355",149
Feb 2018,169,Tom Judge inc,"2,027,818",101
Feb 2018,169,Son Abraham inc,"2,004,593",97
Feb 2018,169,Helen Mckean inc,"1,994,580",95
Feb 2018,169,Louis Mccall inc,"1,782,695",90
Feb 2018,170,Mamie James inc,"910,614",43
Feb 2018,170,Thelma Metayer inc,"636,512",35
Feb 2018,170,Rebecca Smart inc,"524,977",25
Feb 2018,170,,"330,524",15
Feb 2018,170,Jack Terry 2 inc,"261,826",14
Feb 2018,171,Sandra Wells inc,"2,272,008",109
Feb 2018,171,David Holmes 4 inc,"1,412,365",67
Feb 2018,171,Leanora Marshall inc,"1,101,251",53
Feb 2018,171,Bryan Harris 4 inc,"849,949",40
Feb 2018,171,Sabra Underdown inc,"637,258",27
Feb 2018,172,Jennie Gibbs inc,"775,163",40
Feb 2018,172,Tommy Mcfarland inc,"595,293",31
Feb 2018,172,Carlos Miller inc,"506,429",23
Feb 2018,172,Thomas Howard 3 inc,"492,637",22
Feb 2018,172,Vernon Gross 2 inc,"480,803",23
Feb 2018,173,Robert Doyle 3 inc,"1,509,825",70
Feb 2018,173,Yolanda Panzarella inc,"904,737",46
Feb 2018,173,Robert Warne inc,"775,642",38
Feb 2018,173,Betty Mcelvaine inc,"705,319",34
Feb 2018,173,Ruth Sutherland inc,"597,728",28
Feb 2018,174,Cody Leonard inc,"1,291,937",61
Feb 2018,174,Andrea Claybrook inc,"754,590",37
Feb 2018,174,,"562,436",27
Feb 2018,174,Amy Linton inc,"560,581",27
Feb 2018,174,Karen Coffman inc,"540,220",25
Feb 2018,175,Judy Fujimoto inc,"535,842",26
Feb 2018,175,Betty Larson inc,"506,571",25
Feb 2018,175,Rebecca Kelly 2 inc,"392,205",22
Feb 2018,175,Edward Cook 3 inc,"327,232",17
Feb 2018,175,Eugene Santelli inc,"317,425",16
Feb 2018,178,Maria Allen 4 inc,"461,472",21
Feb 2018,178,Hillary Wells inc,"178,285",8
Feb 2018,178,Sandra Kimball inc,"127,917",7
Feb 2018,178,Lamont Miyashiro inc,"107,824",6
Feb 2018,178,Juanita Mbonu inc,"100,083",5
Feb 2018,179,Michael Swirsky inc,"6,605,925",330
Feb 2018,179,Gladys Castillo inc,"1,960,965",93
Feb 2018,179,Curtis Banks inc,"1,724,785",88
Feb 2018,179,Judy Lutz inc,"1,353,051",68
Feb 2018,179,Alan Poe inc,"1,054,169",50
Feb 2018,180,Anna Harrison inc,"1,331,541",70
Feb 2018,180,Denise Sievers inc,"527,954",25
Feb 2018,180,Alexandra Green inc,"474,548",21
Feb 2018,180,James Mcclendon inc,"232,263",9
Feb 2018,180,Richard Spencer 2 inc,"230,616",12
Feb 2018,181,Juan Walsh 2 inc,"1,191,047",56
Feb 2018,181,,"1,001,373",48
Feb 2018,181,Edith Roll inc,"698,897",36
Feb 2018,181,Gregg Verde inc,"606,428",32
Feb 2018,181,Grant Son inc,"386,688",20
Feb 2018,182,Julia Cope inc,"1,368,727",65
Feb 2018,182,Jason Lopez 2 inc,"501,763",22
Feb 2018,182,Harold Strand inc,"416,722",24
Feb 2018,182,Betty Pew inc,"388,927",19
Feb 2018,182,Janice Wilson 2 inc,"190,650",9
Feb 2018,183,Shanon Battle inc,"790,202",38
Feb 2018,183,Angela Jackson 5 inc,"444,921",22
Feb 2018,183,John Otoole inc,"325,998",17
Feb 2018,183,William Munroe inc,"284,927",14
Feb 2018,183,,"267,836",16
Feb 2018,184,Tracy Webster inc,"429,647",21
Feb 2018,184,Charlotte Valdez inc,"341,419",19
Feb 2018,184,Judith Hewitt inc,"319,802",15
Feb 2018,184,Cheryl Pike inc,"309,018",14
Feb 2018,184,Christopher Waage inc,"291,010",17
Feb 2018,185,Sebastian Molino inc,"7,064",1
Feb 2018,186,Larry Reid inc,"679,720",35
Feb 2018,186,Brett Richardson inc,"432,215",19
Feb 2018,186,Christine Paulino inc,"317,346",16
Feb 2018,186,Cora Brown inc,"291,515",11
Feb 2018,186,Paul Bock inc,"198,029",9
Feb 2018,187,,"772,051",37
Feb 2018,187,Joseph Miles inc,"442,480",21
Feb 2018,187,Ronald Morgan inc,"425,886",21
Feb 2018,187,Terence Harstad inc,"381,102",19
Feb 2018,187,Roberto Alexander inc,"304,768",16
Feb 2018,188,James Pittsley inc,"805,034",38
Feb 2018,188,Linda Alexander inc,"669,124",35
Feb 2018,188,Thomas Thompson 9 inc,"662,806",31
Feb 2018,188,Joseph Jones 15 inc,"654,389",34
Feb 2018,188,Ryan Widell inc,"644,373",30
Feb 2018,189,Andrew Eastman inc,"1,684,179",82
Feb 2018,189,,"1,435,281",69
Feb 2018,189,Gertrude Espinosa inc,"889,694",47
Feb 2018,189,Diane Allen 2 inc,"718,764",33
Feb 2018,189,Christina Chamberlain inc,"683,669",39
Feb 2018,190,Jay Hokanson inc,"682,865",33
Feb 2018,190,Denise Marquez 2 inc,"367,450",16
Feb 2018,190,,"343,473",18
Feb 2018,190,Thomas Voyer inc,"301,342",15
Feb 2018,190,Fletcher Watson inc,"298,749",12
Feb 2018,191,Frank Lundborg inc,"587,565",29
Feb 2018,191,,"490,607",26
Feb 2018,191,Patrick Heiden inc,"437,146",21
Feb 2018,191,Heather Harris 5 inc,"343,419",15
Feb 2018,191,Phillip Lewis 3 inc,"304,209",13
Feb 2018,193,,"522,925",25
Feb 2018,193,Adan Ellis inc,"470,449",22
Feb 2018,193,Lisa Plummer inc,"462,618",24
Feb 2018,193,Donald Davis 9 inc,"420,984",21
Feb 2018,193,Dorothy Woods inc,"398,721",18
Feb 2018,194,Alison Magallanes inc,"812,404",42
Feb 2018,194,Walter Washington 2 inc,"407,363",20
Feb 2018,194,Sandra Patterson 2 inc,"358,090",16
Feb 2018,194,Irma Bales inc,"284,991",15
Feb 2018,194,Kimberly Peterson 2 inc,"271,808",13
Feb 2018,195,Casey Dawkins inc,"628,144",33
Feb 2018,195,Klara Ibanez inc,"386,669",20
Feb 2018,195,Kenneth Situ inc,"283,504",14
Feb 2018,195,James Everhart 2 inc,"257,030",13
Feb 2018,195,Carl Smith 6 inc,"223,079",14
Feb 2018,197,Claudia Rodriguez inc,"739,428",41
Feb 2018,197,Gregory Bettis inc,"355,080",20
Feb 2018,197,Randi Duke inc,"352,956",18
Feb 2018,197,Lori Mize inc,"346,731",17
Feb 2018,197,Chad Tobar inc,"279,587",15
Feb 2018,198,Michael Howe 2 inc,"345,964",16
Feb 2018,198,Jose Emerson inc,"304,894",14
Feb 2018,198,Nancy Foley inc,"240,561",11
Feb 2018,198,Charles Fritter inc,"236,753",11
Feb 2018,198,Barbara Christian inc,"220,483",10
Feb 2018,199,Crystal Dwyer inc,"1,861,732",93
Feb 2018,199,Elbert Six inc,"1,200,742",63
Feb 2018,199,Daryl Taylor inc,"1,016,797",52
Feb 2018,199,Roger Serrano inc,"988,177",48
Feb 2018,199,Judy Evans 3 inc,"857,718",37
Feb 2018,200,,"1,884,889",90
Feb 2018,200,Juan Sojka inc,"1,784,506",86
Feb 2018,200,Latanya Crofton inc,"1,662,894",81
Feb 2018,200,Teresa Ellis inc,"1,575,484",76
Feb 2018,200,Sandra Davenport inc,"1,383,479",69
Feb 2018,201,James Howell 7 inc,"484,316",27
Feb 2018,201,Patricia Cornish inc,"297,391",12
Feb 2018,201,Ryan Black inc,"294,035",12
Feb 2018,201,Edwin Smith 4 inc,"238,163",14
Feb 2018,201,Chad Torres inc,"236,132",11
Feb 2018,203,Albert Cadwell inc,"752,754",39
Feb 2018,203,Ernest Ward inc,"336,790",16
Feb 2018,203,Jeffrey Berryman inc,"322,732",19
Feb 2018,203,,"212,273",8
Feb 2018,203,Kathryn Blais inc,"163,385",8
Feb 2018,204,Ruth Newark inc,"227,967",12
Feb 2018,204,Debora Giles inc,"220,621",9
Feb 2018,204,Nicolas Grove inc,"182,209",10
Feb 2018,204,Josephina Taylor inc,"136,894",6
Feb 2018,204,Antonio Bowler inc,"122,081",5
Feb 2018,205,Tyrone Dwaileebe inc,"317,574",13
Feb 2018,205,Thomas Anderson 10 inc,"204,866",11
Feb 2018,205,Zachary Holzer inc,"189,356",8
Feb 2018,205,Mark Bejar inc,"125,786",6
Feb 2018,205,Todd Ogden inc,"89,775",4
Feb 2018,206,Mary Roberts 6 inc,"284,425",13
Feb 2018,206,Susan Klotz inc,"224,590",11
Feb 2018,206,Tracy Robles inc,"178,204",11
Feb 2018,206,Ryan Gregg inc,"168,730",10
Feb 2018,206,Susan Land inc,"159,438",9
Feb 2018,207,Clarence Griffin inc,"196,052",12
Feb 2018,207,Teresa Begley inc,"164,613",6
Feb 2018,207,Donald Neff inc,"142,355",7
Feb 2018,207,Cynthia Swamp inc,"128,551",6
Feb 2018,207,Glenn Marshall inc,"75,941",3
Feb 2018,208,Michael Abramson inc,"864,868",45
Feb 2018,208,Jason Ho inc,"265,388",12
Feb 2018,208,Paula Santiago inc,"263,158",11
Feb 2018,208,Dale Skalicky inc,"170,790",9
Feb 2018,208,Pearl Takahashi inc,"160,100",7
Feb 2018,209,Ma Rowlands inc,"1,387,711",63
Feb 2018,209,Meaghan Saylor inc,"919,727",49
Feb 2018,209,Cathrine Guerrero inc,"680,401",30
Feb 2018,209,Michael Mincey inc,"646,505",27
Feb 2018,209,,"512,501",24
Feb 2018,210,Felipe Erickson inc,"1,066,871",56
Feb 2018,210,,"900,016",46
Feb 2018,210,Michael Mocher inc,"777,487",33
Feb 2018,210,Angela Parsons inc,"724,007",35
Feb 2018,210,Jamie Remillard inc,"710,568",36
Feb 2018,211,William Darden inc,"622,727",30
Feb 2018,211,Ryan Charles inc,"609,070",28
Feb 2018,211,Nancy Benz inc,"432,365",21
Feb 2018,211,Glenda Obrien inc,"422,041",20
Feb 2018,211,,"336,761",17
Feb 2018,212,Donald Pimental inc,"5,180,790",254
Feb 2018,212,,"4,119,410",200
Feb 2018,212,Rebecca Johnson 9 inc,"3,885,880",191
Feb 2018,212,Anna Risher inc,"3,545,154",171
Feb 2018,212,Bernice Pratt inc,"2,890,233",135
Feb 2018,213,,"2,917,725",151
Feb 2018,213,Katherine Stickel inc,"2,752,362",136
Feb 2018,213,Nichol Gentry inc,"2,478,172",118
Feb 2018,213,Elizabeth Thomas 10 inc,"1,979,735",102
Feb 2018,213,Chad Tobar inc,"1,918,099",92
Feb 2018,214,Daniel Steinbach inc,"866,849",41
Feb 2018,214,Scott Debroux inc,"427,193",19
Feb 2018,214,Christie Poole inc,"413,857",20
Feb 2018,214,Aaron Baker 3 inc,"405,374",20
Feb 2018,214,Miles West inc,"324,196",14
Feb 2018,215,Katherine Caldwell inc,"464,819",24
Feb 2018,215,William Bonenfant inc,"85,142",4
Feb 2018,215,Allison Kingston inc,"84,525",3
Feb 2018,215,Stephanie Wallace 2 inc,"77,094",4
Feb 2018,215,Eric Weeks inc,"74,230",4
Feb 2018,216,Helen Acosta inc,"458,870",24
Feb 2018,216,Andrea Kolb inc,"361,334",17
Feb 2018,216,Deanna Dudley inc,"322,124",18
Feb 2018,216,Mary Donati inc,"311,345",18
Feb 2018,216,Roger Espinoza inc,"289,907",15
Feb 2018,218,Julianne Mchugh inc,"1,197,912",59
Feb 2018,218,Ronald Abbott 2 inc,"480,943",25
Feb 2018,218,Mildred Walton inc,"426,780",20
Feb 2018,218,Nathaniel Buckley inc,"407,767",23
Feb 2018,218,Charles Oneil inc,"377,757",21
Feb 2018,219,,"1,095,019",55
Feb 2018,219,Donald Smith 19 inc,"631,374",30
Feb 2018,219,Wendy Strong inc,"588,803",26
Feb 2018,219,James Henderson 10 inc,"582,492",29
Feb 2018,219,Brian Page 2 inc,"372,783",20
Feb 2018,220,James Jones 47 inc,"480,146",23
Feb 2018,220,Rose Smith 7 inc,"375,162",18
Feb 2018,220,Susan Shields 2 inc,"300,399",15
Feb 2018,220,Jaime Joyce inc,"291,282",14
Feb 2018,220,Megan Robinson 5 inc,"265,418",16
Feb 2018,221,Rose Brewer 2 inc,"279,104",13
Feb 2018,221,Gilberto Washington inc,"95,210",4
Feb 2018,221,William Miller 23 inc,"91,745",4
Feb 2018,221,Vanessa Yepsen inc,"89,291",4
Feb 2018,221,Donna Wallace inc,"75,960",3
Feb 2018,222,Jonathon Morrison inc,"341,587",18
Feb 2018,222,Melvin Hurt inc,"254,707",15
Feb 2018,222,Joan Baggesen inc,"199,175",11
Feb 2018,222,Dennis Clancy inc,"186,318",8
Feb 2018,222,Theresa Martin 3 inc,"157,688",7
Feb 2018,223,Connie Thompson inc,"525,067",27
Feb 2018,223,Judy Turner inc,"460,586",22
Feb 2018,223,Betty Newton 2 inc,"428,994",22
Feb 2018,223,Rodney Reynolds inc,"332,514",15
Feb 2018,223,Gracie Mcmorran inc,"314,773",14
Feb 2018,224,John Sutton 8 inc,"738,231",33
Feb 2018,224,Deborah Harris 5 inc,"366,273",17
Feb 2018,224,Ronald Perkins 2 inc,"269,515",13
Feb 2018,224,,"210,437",9
Feb 2018,224,Charles White 10 inc,"209,224",9
Feb 2018,226,John Rutherford 4 inc,"2,199,035",109
Feb 2018,226,Maggie Rosa inc,"844,270",46
Feb 2018,226,Jaime Marks inc,"758,826",35
Feb 2018,226,Princess White inc,"635,674",33
Feb 2018,226,Joseph Dempsey inc,"611,758",32
Feb 2018,227,Frank Mahler inc,"308,874",15
Feb 2018,227,Frank Dana inc,"137,017",5
Feb 2018,227,Nicholas Hyler inc,"120,435",7
Feb 2018,227,Edward Jones 10 inc,"111,863",5
Feb 2018,227,Robert Baker 8 inc,"103,037",3
Feb 2018,228,Gail Henderson inc,"386,005",17
Feb 2018,228,Pablo Laboy inc,"302,946",15
Feb 2018,228,David Piles inc,"224,943",9
Feb 2018,228,Bobby Wortham inc,"219,652",11
Feb 2018,228,Gregory Harper 2 inc,"200,760",8
Feb 2018,229,Christina Moralez inc,"563,345",29
Feb 2018,229,,"284,761",16
Feb 2018,229,David Estrada 3 inc,"265,194",14
Feb 2018,229,Athena Cook inc,"216,234",11
Feb 2018,229,Jonathan Hahn inc,"213,591",10
Feb 2018,230,Rosie Champagne inc,"377,758",18
Feb 2018,230,John Rivera 9 inc,"374,111",17
Feb 2018,230,James Dillard 5 inc,"365,097",16
Feb 2018,230,Lee Waters inc,"248,601",11
Feb 2018,230,Cortez Shelton inc,"242,486",12
Feb 2018,231,Mary Mattson inc,"4,532,156",228
Feb 2018,231,Joshua Berryhill inc,"1,562,146",80
Feb 2018,231,Javier Crump inc,"1,253,062",61
Feb 2018,231,Robert Barfield inc,"1,210,750",57
Feb 2018,231,Edward Hebert 3 inc,"1,201,484",60
Feb 2018,232,Charles Urias inc,"789,174",42
Feb 2018,232,Whitney Delgado inc,"769,639",39
Feb 2018,232,Russell Fernandez inc,"659,807",30
Feb 2018,232,James Guerrero 2 inc,"626,267",32
Feb 2018,232,Leon Wilson 3 inc,"624,845",30
Feb 2018,233,Chad Tobar inc,"4,166,052",209
Feb 2018,233,Ruth Kohl inc,"3,256,692",162
Feb 2018,233,Ella Rose 2 inc,"3,228,614",155
Feb 2018,233,John Mcneal 2 inc,"3,227,581",159
Feb 2018,233,,"3,097,173",153
Feb 2018,234,Anthony Tobey inc,"666,225",30
Feb 2018,234,Alice Dickerson inc,"656,214",31
Feb 2018,234,,"505,115",27
Feb 2018,234,Daniel Marshall 7 inc,"494,167",23
Feb 2018,234,Lisa Johnson 11 inc,"406,823",20
Feb 2018,235,Peter Adams 3 inc,"259,651",14
Feb 2018,235,Glenn Neblett inc,"228,061",13
Feb 2018,235,Irene Frazier inc,"144,056",6
Feb 2018,235,Ann Charron inc,"142,504",5
Feb 2018,235,David Morris 4 inc,"135,726",8
Feb 2018,236,Jeremy Adams 3 inc,"240,504",12
Feb 2018,236,Nora Saenz inc,"221,186",12
Feb 2018,236,Nick Redenius inc,"173,643",8
Feb 2018,236,,"172,665",8
Feb 2018,236,Marie Boutwell inc,"167,236",7
Feb 2018,237,Julie Hughes inc,"390,651",16
Feb 2018,237,Rebecca Pendergrass inc,"122,380",5
Feb 2018,237,Sarah Seldon inc,"96,430",4
Feb 2018,237,Dennis Coates inc,"82,104",5
Feb 2018,237,Van Vandy inc,"81,044",4
Feb 2018,238,Kenneth Kimbler inc,"1,170,147",60
Feb 2018,238,,"795,802",41
Feb 2018,238,Robin Forbes inc,"732,807",32
Feb 2018,238,Eugene Roberts inc,"554,537",28
Feb 2018,238,Richard Williamson 2 inc,"521,364",25
Feb 2018,239,Ivelisse Cipriani inc,"567,079",26
Feb 2018,239,Leonard Parton inc,"491,936",24
Feb 2018,239,Rosa Daugherty inc,"358,930",19
Feb 2018,239,,"317,612",17
Feb 2018,239,Jackson Tallant inc,"311,863",13
Feb 2018,240,Jessica Baxter inc,"413,483",21
Feb 2018,240,Victoria Brown 3 inc,"277,332",13
Feb 2018,240,Gloria Applin inc,"231,901",10
Feb 2018,240,Erick Porter inc,"227,230",9
Feb 2018,240,Gerald Rivera 2 inc,"163,890",9
Feb 2018,242,Mae Davis 3 inc,"1,120,814",60
Feb 2018,242,Ada Cough inc,"924,943",48
Feb 2018,242,John Bordner inc,"780,501",36
Feb 2018,242,Estella Vidal inc,"734,953",41
Feb 2018,242,,"521,424",26
Feb 2018,244,,"2,918,054",135
Feb 2018,244,Vivian Cawthorne inc,"2,470,956",128
Feb 2018,244,Diane Robbins inc,"1,896,965",99
Feb 2018,244,James Funk 2 inc,"1,407,699",73
Feb 2018,244,Donald Bacon 2 inc,"1,080,553",60
Feb 2018,245,Brenda Green 4 inc,"1,013,952",51
Feb 2018,245,Anton Wilder inc,"695,893",34
Feb 2018,245,James Brown 42 inc,"663,647",34
Feb 2018,245,Bobby Bryce inc,"562,917",32
Feb 2018,245,Debra Moncrief inc,"471,987",20
Feb 2018,246,Clarice Potts inc,"3,493,471",172
Feb 2018,246,,"1,979,272",93
Feb 2018,246,James Holliday inc,"1,835,709",95
Feb 2018,246,Brian Larose inc,"1,486,092",78
Feb 2018,246,Marc Juckett inc,"1,459,130",71
Feb 2018,247,Alex Couzens inc,"1,564,952",82
Feb 2018,247,Mary Schultheis inc,"742,043",37
Feb 2018,247,Charles Doyle inc,"583,309",35
Feb 2018,247,Frederick Uson inc,"455,784",22
Feb 2018,247,Joseph Cox 6 inc,"432,785",19
Feb 2018,248,George Wheeler 2 inc,"1,337,575",64
Feb 2018,248,,"1,224,374",64
Feb 2018,248,Alison Miranda inc,"1,117,430",55
Feb 2018,248,Marie Compton inc,"1,103,208",60
Feb 2018,248,Nicholas Mixer inc,"934,803",53
Feb 2018,250,Edward Campbell 2 inc,"685,127",35
Feb 2018,250,Angela Mcnabb inc,"636,883",31
Feb 2018,250,Catherine Ochs inc,"501,146",23
Feb 2018,250,David Meler inc,"357,617",17
Feb 2018,250,,"342,681",17
Feb 2018,251,Lola Cramer inc,"1,973,231",94
Feb 2018,251,Rose Mincey inc,"1,690,819",86
Feb 2018,251,Charles Bendel inc,"1,366,844",64
Feb 2018,251,Fannie Bittner inc,"1,241,806",61
Feb 2018,251,Leticia Meyer inc,"1,132,064",58
Feb 2018,252,Jimmy Kelly inc,"355,052",18
Feb 2018,252,Raymundo Daniel inc,"232,439",12
Feb 2018,252,Ilene Young inc,"230,828",13
Feb 2018,252,Maria Danna inc,"175,587",8
Feb 2018,252,Thomas Wolfman inc,"173,551",10
Feb 2018,253,,"1,464,783",68
Feb 2018,253,Dillon Renshaw inc,"777,925",39
